Date,t,Quelle_temp,Time_temp,eco2,Quelle_co2,Time_co2
2021-03-21,52.165,"Stadt Konstanz, Abt. Datenmanagement und Statistik",22:00:02,2582.8,"Stadt Konstanz, Abt. Datenmanagement und Statistik",18:00:09
2021-03-21,52.165,"Stadt Konstanz, Abt. Datenmanagement und Statistik",22:00:02,2016.85,"Stadt Konstanz, Abt. Datenmanagement und Statistik",16:00:24
2021-03-21,52.165,"Stadt Konstanz, Abt. Datenmanagement und Statistik",22:00:02,1782.35,"Stadt Konstanz, Abt. Datenmanagement und Statistik",08:00:26
2021-03-21,52.165,"Stadt Konstanz, Abt. Datenmanagement und Statistik",22:00:02,1928.9,"Stadt Konstanz, Abt. Datenmanagement und Statistik",06:00:15
2021-03-21,5.249,"Stadt Konstanz, Abt. Datenmanagement und Statistik",19:00:11,2582.8,"Stadt Konstanz, Abt. Datenmanagement und Statistik",18:00:09
2021-03-21,5.249,"Stadt Konstanz, Abt. Datenmanagement und Statistik",19:00:11,2016.85,"Stadt Konstanz, Abt. Datenmanagement und Statistik",16:00:24
2021-03-21,5.249,"Stadt Konstanz, Abt. Datenmanagement und Statistik",19:00:11,1782.35,"Stadt Konstanz, Abt. Datenmanagement und Statistik",08:00:26
2021-03-21,5.249,"Stadt Konstanz, Abt. Datenmanagement und Statistik",19:00:11,1928.9,"Stadt Konstanz, Abt. Datenmanagement und Statistik",06:00:15
2021-03-20,49.195,"Stadt Konstanz, Abt. Datenmanagement und Statistik",16:00:15,2230.6,"Stadt Konstanz, Abt. Datenmanagement und Statistik",21:00:45
2021-03-20,49.195,"Stadt Konstanz, Abt. Datenmanagement und Statistik",16:00:15,1591.2,"Stadt Konstanz, Abt. Datenmanagement und Statistik",13:00:35
2021-03-20,49.195,"Stadt Konstanz, Abt. Datenmanagement und Statistik",16:00:15,2264.15,"Stadt Konstanz, Abt. Datenmanagement und Statistik",04:00:15
2021-03-20,5.162,"Stadt Konstanz, Abt. Datenmanagement und Statistik",10:00:12,2230.6,"Stadt Konstanz, Abt. Datenmanagement und Statistik",21:00:45
2021-03-20,5.162,"Stadt Konstanz, Abt. Datenmanagement und Statistik",10:00:12,1591.2,"Stadt Konstanz, Abt. Datenmanagement und Statistik",13:00:35
2021-03-20,5.162,"Stadt Konstanz, Abt. Datenmanagement und Statistik",10:00:12,2264.15,"Stadt Konstanz, Abt. Datenmanagement und Statistik",04:00:15
2021-03-20,20.815,"Stadt Konstanz, Abt. Datenmanagement und Statistik",01:00:07,2230.6,"Stadt Konstanz, Abt. Datenmanagement und Statistik",21:00:45
2021-03-20,20.815,"Stadt Konstanz, Abt. Datenmanagement und Statistik",01:00:07,1591.2,"Stadt Konstanz, Abt. Datenmanagement und Statistik",13:00:35
2021-03-20,20.815,"Stadt Konstanz, Abt. Datenmanagement und Statistik",01:00:07,2264.15,"Stadt Konstanz, Abt. Datenmanagement und Statistik",04:00:15
2021-03-19,3.999,"Stadt Konstanz, Abt. Datenmanagement und Statistik",16:00:41,5216.25,"Stadt Konstanz, Abt. Datenmanagement und Statistik",10:00:00
2021-03-19,3.999,"Stadt Konstanz, Abt. Datenmanagement und Statistik",16:00:41,7386.25,"Stadt Konstanz, Abt. Datenmanagement und Statistik",07:00:34
2021-03-18,4.662,"Stadt Konstanz, Abt. Datenmanagement und Statistik",07:00:29,2446.0,"Stadt Konstanz, Abt. Datenmanagement und Statistik",14:00:18
